employee_id,name,role,department,performance,experience,training_hours,salary,remote_share,team_size,manager_quality
E100000,Aleksandr Weihmann,Sales Representative,Sales,198.24284102040977,18,45.38132964568466,59096.739149449306,0.22731373385215223,11,5
E100001,Eleni Hauffer,HR Specialist,HR,144.28174986114377,1,48.305079576600875,34060.35568533012,0.41977219701390556,5,3
E100002,Paul Dobes-Stey,Software Engineer,IT,191.78813175441292,16,29.34465310103056,64625.84656631084,0.7825961351250754,9,4
E100003,Klemens Löchel,System Administrator,IT,190.4452490413721,10,51.93170864975144,38057.34268761157,0.7631284476246307,13,5
E100004,Alexandre Davids,Business Development Manager,Sales,173.4087071999311,10,32.776372605110005,45828.30906708669,0.4997373871214244,10,2
E100005,Eric Pärtzelt B.Sc.,Account Manager,Sales,177.67647906055618,20,33.351304573760196,66544.72811303052,0.6769950629523172,8,3
E100006,Orhan Seip MBA.,Key Account Manager,Sales,188.6583460748293,15,42.708425773529946,60591.75100561718,0.7662656123442576,14,5
E100007,Dipl.-Ing. Klaus-Werner Holsten B.Sc.,HR Manager,HR,125.88730012240812,1,43.019182630492764,27983.19783617153,0.22621779757959068,12,3
E100008,Univ.Prof. Heimo Karge,IT Project Lead,IT,117.03465043048253,1,29.281431977675215,31809.3271558768,0.8453411239882365,3,5
E100009,Carolin Hande,Line Manager,IT,175.97602448920023,7,38.26720708226103,42947.32529823504,0.7794130816690314,10,4
E100010,Auguste Davids,Sales Representative,Sales,205.73984350476115,12,54.88235316869476,53204.25264231136,0.7241642034086698,12,4
E100011,Ariane Klemt-Kaul,HR Specialist,HR,114.38609985740815,9,25.31663438465905,44418.02853149627,0.22292311303474094,5,5
E100012,Rosalia Beyer,Recruiter,HR,148.2349622812754,7,54.85219241012726,40805.07472966661,0.38410639473418234,10,2
E100013,Kathrin Ebert MBA.,Sales Representative,Sales,138.23160653387637,3,37.583015485835105,30598.664701096535,0.7805836953516734,14,2
E100014,Karl-Dieter Hornig,Sales Lead,Sales,137.97283085114685,14,16.62245166564847,59900.33720286916,0.5992058211172925,6,3
E100015,Leonie Gröttner,Line Manager,Sales,112.7701120324649,0,26.332682665170935,32855.51314295684,0.6849236456573257,10,4
E100016,Anatoli Speer,Sales Representative,Sales,147.98353059213107,10,30.365224622648064,46146.91024937331,0.7526307198117854,13,2
E100017,Ing. Arnulf Heintze B.Sc.,Software Engineer,IT,130.15088390417438,6,33.76070699217258,49603.20048008522,0.4155870496222717,3,1
E100018,Erika Metz-Schuster,Data Scientist,IT,174.59486958772277,16,38.95286741374662,60426.992762789756,0.7214826474924944,5,4
E100019,Cathrin Koch II,Line Manager,Sales,169.0529452230836,19,12.965198702384278,75650.9281189828,0.8472998456731853,8,5
E100020,Delia Steckel,DevOps Engineer,IT,216.2147822847779,17,41.868043924776536,60789.36413084198,0.8826972134324423,11,5
E100021,Mechtild Stoll,Sales Lead,Sales,141.01967496691353,11,29.449094916751157,41867.11111700282,0.3896742003218287,4,3
E100022,Leif Schuster,Sales Representative,Sales,171.09770799804775,8,53.905225716010584,48010.989124561755,0.38059141559861664,13,2
E100023,Prof. Ottokar Henschel,Sales Representative,Sales,140.62523706259827,4,37.298232792560256,39242.725525594935,0.713596131697926,3,3
E100024,Dipl.-Ing. Hans-Herbert Hiller,Line Manager,IT,173.09644681691154,9,49.428461717327295,48171.968976537915,0.8984269819171525,12,3
E100025,Univ.Prof. Gotthilf Wilmsen B.Sc.,Line Manager,IT,135.1193683801847,3,51.103489799142935,32788.83760778005,0.32991426202218344,5,2
E100026,Herr Romuald Jopich MBA.,Sales Representative,Sales,166.93996663712227,4,50.83273243466216,37827.138872570904,0.687626841776264,6,5
E100027,Anne-Katrin Hahn,Line Manager,IT,176.33147881544377,9,34.33593257037514,45443.70271065236,0.5203666863314195,13,5
E100028,Diana Sölzer,IT Project Lead,IT,141.7115200086856,10,34.207998422786766,48488.25216834125,0.8131381333783257,7,3
E100029,Dipl.-Ing. Svea Seifert MBA.,Key Account Manager,Sales,186.73602623599317,20,37.75026700711685,74208.16127882537,0.3807404316790973,5,1
E100030,Franjo Etzold-Hentschel,Data Scientist,IT,190.9081018392621,9,46.36237375378926,48921.086147650465,0.8115494150807727,12,4
E100031,Nathalie Sauer,Sales Lead,Sales,147.50000392541673,7,34.89304730245837,47049.756936659884,0.8019990613764896,13,3
E100032,Prof. Heiderose Klotz,Account Manager,Sales,127.2313228745836,1,38.80737526409752,30840.65746687105,0.445036853123642,4,2
E100033,Dr. Jaroslaw Nohlmans B.Sc.,People Operations Lead,HR,141.8053615882088,7,42.7359381633945,42289.913270976125,0.15913976097246302,4,2
E100034,Steffen Dörschner,HR Specialist,HR,141.3439579058672,15,30.951080739521334,54232.58734555678,0.6668459267499293,9,2
E100035,Lukas Freudenberger-Zorbach,HR Specialist,HR,132.4826079418549,4,30.318917116708825,36149.81693715901,0.480306534886284,11,4
